review_tokens_SR,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya,Negatif,"{'classified_text': 'katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4]', 'tweet_text': ' katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya', 'sentence_score': ['katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4]'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}",katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4], katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya,['katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4]'],6,-4,positif
kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,Negatif,"{'classified_text': 'kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]', 'tweet_text': ' kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih', 'sentence_score': ['kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4], kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,['kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]'],4,-5,negatif
beautiful package bintang buat safety nya,Positif,"{'classified_text': 'beautiful package bintang buat safety nya', 'tweet_text': ' beautiful package bintang buat safety nya', 'sentence_score': ['beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beautiful package bintang buat safety nya, beautiful package bintang buat safety nya,['beautiful package bintang buat safety nya'],1,-1,netral
pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak,Negatif,"{'classified_text': 'pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak', 'tweet_text': ' pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak', 'sentence_score': ['pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak, pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak,['pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak'],5,-2,positif
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",top [4], top,['top [4]'],4,-1,positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2], tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,['tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'],3,-4,negatif
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp, exp,['exp'],1,-1,netral
pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba, pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba,['pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba'],5,-1,positif
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2], tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,['tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'],3,-4,negatif
barang sesuai pesanan,Positif,"{'classified_text': 'barang sesuai [3] pesanan', 'tweet_text': ' barang sesuai pesanan', 'sentence_score': ['barang sesuai [3] pesanan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang sesuai [3] pesanan, barang sesuai pesanan,['barang sesuai [3] pesanan'],3,-1,positif
pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan,Positif,"{'classified_text': 'pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan', 'tweet_text': ' pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan', 'sentence_score': ['pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan, pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan,['pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan'],5,-2,positif
moga cocok soalnya dulu cocok banget pakai,Positif,"{'classified_text': 'moga cocok [3] soalnya dulu cocok [4] banget pakai', 'tweet_text': ' moga cocok soalnya dulu cocok banget pakai', 'sentence_score': ['moga cocok [3] soalnya dulu cocok [4] banget pakai'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3] soalnya dulu cocok [4] banget pakai, moga cocok soalnya dulu cocok banget pakai,['moga cocok [3] soalnya dulu cocok [4] banget pakai'],4,-1,positif
pengiriman cepat mantap,Netral,"{'classified_text': 'pengiriman cepat [4] mantap [5]', 'tweet_text': ' pengiriman cepat mantap', 'sentence_score': ['pengiriman cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",pengiriman cepat [4] mantap [5], pengiriman cepat mantap,['pengiriman cepat [4] mantap [5]'],5,-1,positif
alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin, alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin,['alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin'],1,-1,netral
bahannya gampang menyerap,Netral,"{'classified_text': 'bahannya gampang menyerap [1]', 'tweet_text': ' bahannya gampang menyerap', 'sentence_score': ['bahannya gampang menyerap [1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bahannya gampang menyerap [1], bahannya gampang menyerap,['bahannya gampang menyerap [1]'],1,-1,netral
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
gratis mini pouch terima kasih semoga cocok,Netral,"{'classified_text': 'gratis mini pouch terima kasih [4] semoga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih semoga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",gratis mini pouch terima kasih [4] semoga cocok [3], gratis mini pouch terima kasih semoga cocok,['gratis mini pouch terima kasih [4] semoga cocok [3]'],4,-1,positif
alhamdulillah barangnya semoga cocok selau harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barangnya semoga cocok [3] selau harga diskon yes', 'tweet_text': ' alhamdulillah barangnya semoga cocok selau harga diskon yes', 'sentence_score': ['alhamdulillah barangnya semoga cocok [3] selau harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barangnya semoga cocok [3] selau harga diskon yes, alhamdulillah barangnya semoga cocok selau harga diskon yes,['alhamdulillah barangnya semoga cocok [3] selau harga diskon yes'],3,-1,positif
cocok sama produknya,Positif,"{'classified_text': 'cocok [3] sama produknya', 'tweet_text': ' cocok sama produknya', 'sentence_score': ['cocok [3] sama produknya'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] sama produknya, cocok sama produknya,['cocok [3] sama produknya'],3,-1,positif
berkali kali beli toko official kali pembelian selalu amanah thanks,Positif,"{'classified_text': 'berkali kali beli toko official kali pembelian selalu amanah thanks', 'tweet_text': ' berkali kali beli toko official kali pembelian selalu amanah thanks', 'sentence_score': ['berkali kali beli toko official kali pembelian selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",berkali kali beli toko official kali pembelian selalu amanah thanks, berkali kali beli toko official kali pembelian selalu amanah thanks,['berkali kali beli toko official kali pembelian selalu amanah thanks'],1,-1,netral
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang nya oke [3], barang nya oke,['barang nya oke [3]'],3,-1,positif
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",repeat order, repeat order,['repeat order'],1,-1,netral
masalah kulitku pori besar,Negatif,"{'classified_text': 'masalah [-4] kulitku pori besar [3]', 'tweet_text': ' masalah kulitku pori besar', 'sentence_score': ['masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",masalah [-4] kulitku pori besar [3], masalah kulitku pori besar,['masalah [-4] kulitku pori besar [3]'],3,-4,negatif
beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan byeee,Negatif,"{'classified_text': 'beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye', 'tweet_text': ' beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan bye', 'sentence_score': ['beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}",beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye, beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan bye,['beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye'],6,-4,positif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth,Netral,"{'classified_text': 'tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth', 'tweet_text': ' tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth', 'sentence_score': ['tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth, tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth,['tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth'],3,-5,negatif
kecepatan pengiriman baik bubble warp,Netral,"{'classified_text': 'kecepatan pengiriman baik [4] bubble warp', 'tweet_text': ' kecepatan pengiriman baik bubble warp', 'sentence_score': ['kecepatan pengiriman baik [4] bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kecepatan pengiriman baik [4] bubble warp, kecepatan pengiriman baik bubble warp,['kecepatan pengiriman baik [4] bubble warp'],4,-1,positif
tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar', 'sentence_score': ['tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3], tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,['tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]'],3,-5,negatif
harga ceban yay dicoba,Netral,"{'classified_text': 'harga ceban yay dicoba', 'tweet_text': ' harga ceban yay dicoba', 'sentence_score': ['harga ceban yay dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",harga ceban yay dicoba, harga ceban yay dicoba,['harga ceban yay dicoba'],1,-1,netral
pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas,Netral,"{'classified_text': 'pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas', 'tweet_text': ' pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas', 'sentence_score': ['pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas, pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas,['pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas'],3,-1,positif
ternyata baru pertama kali semoga cocok,Netral,"{'classified_text': 'ternyata baru pertama kali semoga cocok [3]', 'tweet_text': ' ternyata baru pertama kali semoga cocok', 'sentence_score': ['ternyata baru pertama kali semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",ternyata baru pertama kali semoga cocok [3], ternyata baru pertama kali semoga cocok,['ternyata baru pertama kali semoga cocok [3]'],3,-1,positif
mudahan cocok terima kasih,Positif,"{'classified_text': 'mudahan cocok [3] terima kasih [4]', 'tweet_text': ' mudahan cocok terima kasih', 'sentence_score': ['mudahan cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudahan cocok [3] terima kasih [4], mudahan cocok terima kasih,['mudahan cocok [3] terima kasih [4]'],4,-1,positif
sering beli selalu cocok,Netral,"{'classified_text': 'sering beli selalu cocok [3]', 'tweet_text': ' sering beli selalu cocok', 'sentence_score': ['sering beli selalu cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sering beli selalu cocok [3], sering beli selalu cocok,['sering beli selalu cocok [3]'],3,-1,positif
barang datang selamat lama datangnya,Netral,"{'classified_text': 'barang datang selamat [4] lama [-2] datangnya', 'tweet_text': ' barang datang selamat lama datangnya', 'sentence_score': ['barang datang selamat [4] lama [-2] datangnya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",barang datang selamat [4] lama [-2] datangnya, barang datang selamat lama datangnya,['barang datang selamat [4] lama [-2] datangnya'],4,-2,positif
packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih,Positif,"{'classified_text': 'packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4]', 'tweet_text': ' packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih', 'sentence_score': ['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4], packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih,['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4]'],5,-1,positif
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4], terima kasih,['terima kasih [4]'],4,-1,positif
bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya,Netral,"{'classified_text': 'bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya', 'tweet_text': ' bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya', 'sentence_score': ['bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya, bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya,['bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya'],4,-1,positif
tipe kulitku kombinasi masalah kulitku jerawat,Netral,"{'classified_text': 'tipe kulitku kombinasi masalah [-4] kulitku jerawat', 'tweet_text': ' tipe kulitku kombinasi masalah kulitku jerawat', 'sentence_score': ['tipe kulitku kombinasi masalah [-4] kulitku jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulitku kombinasi masalah [-4] kulitku jerawat, tipe kulitku kombinasi masalah kulitku jerawat,['tipe kulitku kombinasi masalah [-4] kulitku jerawat'],1,-4,negatif
tipe kulitku kombinasi,Netral,"{'classified_text': 'tipe kulitku kombinasi', 'tweet_text': ' tipe kulitku kombinasi', 'sentence_score': ['tipe kulitku kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulitku kombinasi, tipe kulitku kombinasi,['tipe kulitku kombinasi'],1,-1,netral
tipe kulitku berminyak masalah kulitku pori besar original terima kasih,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku pori besar original terima kasih', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4], tipe kulitku berminyak masalah kulitku pori besar original terima kasih,['tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4]'],4,-4,netral
