review_tokens_SR,Sentimen,sentimen
katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya,Negatif,"{'classified_text': 'katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4]', 'tweet_text': ' katanya check out jam lama taunya enggak berbohong banget buat mau check out jangan percaya', 'sentence_score': ['katanya check out jam lama [-2] taunya enggak berbohong [6] banget buat mau check out jangan percaya [-4]'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}"
kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih,Negatif,"{'classified_text': 'kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]', 'tweet_text': ' kecewa pesanan dibatalkan pernah mau beli terima kasih alasan beli toko harga pusat normal beli reseller harga melambung jauh ribu kecewa ganti produk eye care terima kasih beli dibatalkan sama somethinc jahat banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih kadang pre order sungguh kecewa beli official mana beli banyak terima kasih', 'sentence_score': ['kecewa [-3] pesanan dibatalkan [-3] pernah mau beli terima kasih [4] alasan [-2] beli toko harga pusat normal [-1] beli reseller harga melambung jauh [-2] ribu kecewa [-3] ganti produk eye care terima kasih [4] beli dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha kalau beli eye game changer sini mau beli stockist harganya beda ribu ribu terima kasih [4] kadang pre order sungguh kecewa [-4] beli official mana [-4] beli banyak terima kasih [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
beautiful package bintang buat safety nya,Positif,"{'classified_text': 'beautiful package bintang buat safety nya', 'tweet_text': ' beautiful package bintang buat safety nya', 'sentence_score': ['beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak,Negatif,"{'classified_text': 'pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak', 'tweet_text': ' pengiriman lama beda provinsi gapapa packingnya aman banget semoga cocok memperbaiki kulit aku tipe kulitku berminyak', 'sentence_score': ['pengiriman lama [-2] beda provinsi gapapa packingnya aman [5] banget semoga cocok [3] memperbaiki kulit aku tipe kulitku berminyak'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget muka waktu kemasan biru mungkin tahun lalu viral perskincare an semenjak hamil stop pakai produk bayi mau coba kangen [4] sensasinya waktu memakai dulu memang feelnya beda semoga ngaruh jerawat suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
barang sesuai pesanan,Positif,"{'classified_text': 'barang sesuai [3] pesanan', 'tweet_text': ' barang sesuai pesanan', 'sentence_score': ['barang sesuai [3] pesanan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan,Positif,"{'classified_text': 'pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan', 'tweet_text': ' pengiriman oke saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang nyaman digunakan', 'sentence_score': ['pengiriman oke [3] saran facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] nyaman [2] digunakan'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
moga cocok soalnya dulu cocok banget pakai,Positif,"{'classified_text': 'moga cocok [3] soalnya dulu cocok [4] banget pakai', 'tweet_text': ' moga cocok soalnya dulu cocok banget pakai', 'sentence_score': ['moga cocok [3] soalnya dulu cocok [4] banget pakai'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman cepat mantap,Netral,"{'classified_text': 'pengiriman cepat [4] mantap [5]', 'tweet_text': ' pengiriman cepat mantap', 'sentence_score': ['pengiriman cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah barangnya pengemasan barangnya thank you kurir sicepat team avoskin'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bahannya gampang menyerap,Netral,"{'classified_text': 'bahannya gampang menyerap [1]', 'tweet_text': ' bahannya gampang menyerap', 'sentence_score': ['bahannya gampang menyerap [1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
gratis mini pouch terima kasih semoga cocok,Netral,"{'classified_text': 'gratis mini pouch terima kasih [4] semoga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih semoga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah barangnya semoga cocok selau harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barangnya semoga cocok [3] selau harga diskon yes', 'tweet_text': ' alhamdulillah barangnya semoga cocok selau harga diskon yes', 'sentence_score': ['alhamdulillah barangnya semoga cocok [3] selau harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
cocok sama produknya,Positif,"{'classified_text': 'cocok [3] sama produknya', 'tweet_text': ' cocok sama produknya', 'sentence_score': ['cocok [3] sama produknya'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
berkali kali beli toko official kali pembelian selalu amanah thanks,Positif,"{'classified_text': 'berkali kali beli toko official kali pembelian selalu amanah thanks', 'tweet_text': ' berkali kali beli toko official kali pembelian selalu amanah thanks', 'sentence_score': ['berkali kali beli toko official kali pembelian selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
masalah kulitku pori besar,Negatif,"{'classified_text': 'masalah [-4] kulitku pori besar [3]', 'tweet_text': ' masalah kulitku pori besar', 'sentence_score': ['masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan byeee,Negatif,"{'classified_text': 'beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye', 'tweet_text': ' beda nih pertama beli first time mencoba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang lah coba rugi dong sudahlah aku pindah haluan bye', 'sentence_score': ['beda nih pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus pembelian kedua merasa formulanya beda banget lebih berminyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudahlah aku pindah haluan bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth,Netral,"{'classified_text': 'tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth', 'tweet_text': ' tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth', 'sentence_score': ['tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
kecepatan pengiriman baik bubble warp,Netral,"{'classified_text': 'kecepatan pengiriman baik [4] bubble warp', 'tweet_text': ' kecepatan pengiriman baik bubble warp', 'sentence_score': ['kecepatan pengiriman baik [4] bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar', 'sentence_score': ['tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
harga ceban yay dicoba,Netral,"{'classified_text': 'harga ceban yay dicoba', 'tweet_text': ' harga ceban yay dicoba', 'sentence_score': ['harga ceban yay dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas,Netral,"{'classified_text': 'pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas', 'tweet_text': ' pembelian kesekian kalinya cocok muka kalo pas jerawatan kulitnya tetap bernafas', 'sentence_score': ['pembelian kesekian kalinya cocok [3] muka kalo pas jerawatan kulitnya tetap bernafas'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
ternyata baru pertama kali semoga cocok,Netral,"{'classified_text': 'ternyata baru pertama kali semoga cocok [3]', 'tweet_text': ' ternyata baru pertama kali semoga cocok', 'sentence_score': ['ternyata baru pertama kali semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
mudahan cocok terima kasih,Positif,"{'classified_text': 'mudahan cocok [3] terima kasih [4]', 'tweet_text': ' mudahan cocok terima kasih', 'sentence_score': ['mudahan cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sering beli selalu cocok,Netral,"{'classified_text': 'sering beli selalu cocok [3]', 'tweet_text': ' sering beli selalu cocok', 'sentence_score': ['sering beli selalu cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang datang selamat lama datangnya,Netral,"{'classified_text': 'barang datang selamat [4] lama [-2] datangnya', 'tweet_text': ' barang datang selamat lama datangnya', 'sentence_score': ['barang datang selamat [4] lama [-2] datangnya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih,Positif,"{'classified_text': 'packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4]', 'tweet_text': ' packing nya bagus banget cream harga segitu tekstur ringan cepat meresap kulit enggak bau menyengat sama sekali semoga cocok kulit aku kering bruntusan terima kasih', 'sentence_score': ['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] meresap kulit enggak bau [4] menyengat sama sekali semoga cocok [3] kulit aku kering bruntusan terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya,Netral,"{'classified_text': 'bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya', 'tweet_text': ' bahannya ringan mudah menyerap cocok kulit aku berjerawat enggak bikin breakout the best pokoknya', 'sentence_score': ['bahannya ringan mudah [3] menyerap [1] cocok [4] kulit aku berjerawat enggak bikin breakout the best pokoknya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku kombinasi masalah kulitku jerawat,Netral,"{'classified_text': 'tipe kulitku kombinasi masalah [-4] kulitku jerawat', 'tweet_text': ' tipe kulitku kombinasi masalah kulitku jerawat', 'sentence_score': ['tipe kulitku kombinasi masalah [-4] kulitku jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
tipe kulitku kombinasi,Netral,"{'classified_text': 'tipe kulitku kombinasi', 'tweet_text': ' tipe kulitku kombinasi', 'sentence_score': ['tipe kulitku kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulitku berminyak masalah kulitku pori besar original terima kasih,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku pori besar original terima kasih', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku pori besar [3] original terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
bahannya ringan cocok digunakan,Positif,"{'classified_text': 'bahannya ringan cocok [3] digunakan', 'tweet_text': ' bahannya ringan cocok digunakan', 'sentence_score': ['bahannya ringan cocok [3] digunakan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak baru mau mencoba makai sebelumnya mencoba punya teman cocok,Netral,"{'classified_text': 'tipe kulitku berminyak baru mau mencoba makai sebelumnya mencoba punya teman cocok [3]', 'tweet_text': ' tipe kulitku berminyak baru mau mencoba makai sebelumnya mencoba punya teman cocok', 'sentence_score': ['tipe kulitku berminyak baru mau mencoba makai sebelumnya mencoba punya teman cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang datang sesuai packing nya aman pengiriman cepat,Netral,"{'classified_text': 'barang datang sesuai [3] packing nya aman [4] pengiriman cepat [4]', 'tweet_text': ' barang datang sesuai packing nya aman pengiriman cepat', 'sentence_score': ['barang datang sesuai [3] packing nya aman [4] pengiriman cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
berasa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,Netral,"{'classified_text': 'berasa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'tweet_text': ' berasa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'sentence_score': ['berasa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulitku kombinasi,Netral,"{'classified_text': 'beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulitku kombinasi', 'tweet_text': ' beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulitku kombinasi', 'sentence_score': ['beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulitku kombinasi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
warnanya cantik banget,Netral,"{'classified_text': 'warnanya cantik [6] banget', 'tweet_text': ' warnanya cantik banget', 'sentence_score': ['warnanya cantik [6] banget'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
cocok tipe kulitku kombinasi,Netral,"{'classified_text': 'cocok [3] tipe kulitku kombinasi', 'tweet_text': ' cocok tipe kulitku kombinasi', 'sentence_score': ['cocok [3] tipe kulitku kombinasi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana,Netral,"{'classified_text': 'jujur [4] panik [-3] pas lihat dusnya penyok [-4] ternyata isinya aman [4] meskipun [-1] pas buka dus kemasan tutup botol moist nya kurang [-2] rapet untung isinya aman [4] enggak luber mana [-4]', 'tweet_text': ' jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana', 'sentence_score': ['jujur [4] panik [-3] pas lihat dusnya penyok [-4] ternyata isinya aman [4] meskipun [-1] pas buka dus kemasan tutup botol moist nya kurang [-2] rapet untung isinya aman [4] enggak luber mana [-4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana baru sekali pakai produk oke banget pas dipakai kulit cocok suka sama packing barunya,Netral,"{'classified_text': 'jujur [4] panik [-3] pas lihat dusnya penyok [-4] ternyata isinya aman [4] meskipun [-1] pas buka dus kemasan tutup botol moist nya kurang [-2] rapet untung isinya aman [4] enggak luber mana [-4] baru sekali pakai produk oke [4] banget pas dipakai kulit cocok [3] suka [5] sama packing barunya', 'tweet_text': ' jujur panik pas lihat dusnya penyok ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya kurang rapet untung isinya aman enggak luber mana baru sekali pakai produk oke banget pas dipakai kulit cocok suka sama packing barunya', 'sentence_score': ['jujur [4] panik [-3] pas lihat dusnya penyok [-4] ternyata isinya aman [4] meskipun [-1] pas buka dus kemasan tutup botol moist nya kurang [-2] rapet untung isinya aman [4] enggak luber mana [-4] baru sekali pakai produk oke [4] banget pas dipakai kulit cocok [3] suka [5] sama packing barunya'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
cocok kulit berminyak kemasannya lucu,Netral,"{'classified_text': 'cocok [3] kulit berminyak kemasannya lucu [4]', 'tweet_text': ' cocok kulit berminyak kemasannya lucu', 'sentence_score': ['cocok [3] kulit berminyak kemasannya lucu [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahannya ringan cepat meresap terus packaging nya banget,Netral,"{'classified_text': 'bahannya ringan cepat [4] meresap terus packaging nya banget', 'tweet_text': ' bahannya ringan cepat meresap terus packaging nya banget', 'sentence_score': ['bahannya ringan cepat [4] meresap terus packaging nya banget'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
terima kasih banyak paket selamat,Netral,"{'classified_text': 'terima kasih [4] banyak paket selamat [4]', 'tweet_text': ' terima kasih banyak paket selamat', 'sentence_score': ['terima kasih [4] banyak paket selamat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang bagus sesuai packing mantap terima kasih,Netral,"{'classified_text': 'barang bagus [4] sesuai [4] packing mantap [4] terima kasih [4]', 'tweet_text': ' barang bagus sesuai packing mantap terima kasih', 'sentence_score': ['barang bagus [4] sesuai [4] packing mantap [4] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
enggak usah ditanya memang sebagus lembab bantu pulih skin barier sejauh moisturizer enggak ganti,Netral,"{'classified_text': 'enggak usah ditanya memang sebagus lembab bantu pulih skin barier sejauh moisturizer enggak ganti', 'tweet_text': ' enggak usah ditanya memang sebagus lembab bantu pulih skin barier sejauh moisturizer enggak ganti', 'sentence_score': ['enggak usah ditanya memang sebagus lembab bantu pulih skin barier sejauh moisturizer enggak ganti'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
produk sangat bagus langsung menyerap membuat lembab,Netral,"{'classified_text': 'produk sangat bagus [6] langsung menyerap [1] membuat lembab', 'tweet_text': ' produk sangat bagus langsung menyerap membuat lembab', 'sentence_score': ['produk sangat bagus [6] langsung menyerap [1] membuat lembab'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
repurchase berkali produk simple efektif packaging simple aman,Netral,"{'classified_text': 'repurchase berkali produk simple efektif packaging simple aman [4]', 'tweet_text': ' repurchase berkali produk simple efektif packaging simple aman', 'sentence_score': ['repurchase berkali produk simple efektif packaging simple aman [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
cocok kulit tekstur ringan sangat cepat menyerap kulit super recommended,Positif,"{'classified_text': 'cocok [3] kulit tekstur ringan sangat cepat [6] menyerap [1] kulit super [4] recommended', 'tweet_text': ' cocok kulit tekstur ringan sangat cepat menyerap kulit super recommended', 'sentence_score': ['cocok [3] kulit tekstur ringan sangat cepat [6] menyerap [1] kulit super [4] recommended'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
baru pertama kali beli skin game mudah mudahan cocok,Negatif,"{'classified_text': 'baru pertama kali beli skin game mudah [3] mudahan cocok [3]', 'tweet_text': ' baru pertama kali beli skin game mudah mudahan cocok', 'sentence_score': ['baru pertama kali beli skin game mudah [3] mudahan cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
akhirnya menemukan moisturizer cocok moistnya ringan cepat menyerap aku memakai tube tube dipakai bulan lebih tergantung pemakaiannya,Netral,"{'classified_text': 'akhirnya menemukan moisturizer cocok [3] moistnya ringan cepat [4] menyerap [1] aku memakai tube tube dipakai bulan lebih tergantung [-2] pemakaiannya', 'tweet_text': ' akhirnya menemukan moisturizer cocok moistnya ringan cepat menyerap aku memakai tube tube dipakai bulan lebih tergantung pemakaiannya', 'sentence_score': ['akhirnya menemukan moisturizer cocok [3] moistnya ringan cepat [4] menyerap [1] aku memakai tube tube dipakai bulan lebih tergantung [-2] pemakaiannya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
bagus semoga cocok,Netral,"{'classified_text': 'bagus [4] semoga cocok [3]', 'tweet_text': ' bagus semoga cocok', 'sentence_score': ['bagus [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru mau dicoba semoga cocok,Positif,"{'classified_text': 'baru mau dicoba semoga cocok [3]', 'tweet_text': ' baru mau dicoba semoga cocok', 'sentence_score': ['baru mau dicoba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayaknya,Positif,"{'classified_text': 'produk orisinal aman [4] kakak adminnya ramah [5] banget bakal repurchase deh kayaknya', 'tweet_text': ' produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayaknya', 'sentence_score': ['produk orisinal aman [4] kakak adminnya ramah [5] banget bakal repurchase deh kayaknya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman pengemasan cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou,Netral,"{'classified_text': 'pengiriman pengemasan cepat [5] banget aman [5] produk sesuai [3] pernah coba lumayan [2] bikin jerawat cepat [4] mateng thankyou', 'tweet_text': ' pengiriman pengemasan cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou', 'sentence_score': ['pengiriman pengemasan cepat [5] banget aman [5] produk sesuai [3] pernah coba lumayan [2] bikin jerawat cepat [4] mateng thankyou'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
