,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR
100,pertama kali nyobain dgn warna kulit saya yg cenderung agak gelap awalnya saya pikir bakal jomplang pas dipake tp ternyata blend bgt ma kulit warnanya jd agak lbh cerah tp bukan jd tone up jg teksturnya ky foundy cair cpt nyerap awalnya ky mate pas udah kering tp lama jd glow up,Positif,pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah tapi bukan jadi tone up juga teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas sudah kering tapi lama jadi glow up,"['pertama', 'kali', 'mencoba', 'dengan', 'warna', 'kulit', 'saya', 'yang', 'cenderung', 'agak', 'gelap', 'awalnya', 'saya', 'pikir', 'bakal', 'jomplang', 'pas', 'dipakai', 'tapi', 'ternyata', 'blend', 'banget', 'sama', 'kulit', 'warnanya', 'jadi', 'agak', 'lebih', 'cerah', 'tapi', 'bukan', 'jadi', 'tone', 'up', 'juga', 'teksturnya', 'kaya', 'foundy', 'cair', 'cepat', 'nyerap', 'awalnya', 'kaya', 'mate', 'pas', 'sudah', 'kering', 'tapi', 'lama', 'jadi', 'glow', 'up']","['pertama', 'kali', 'mencoba', 'warna', 'kulit', 'cenderung', 'gelap', 'awalnya', 'pikir', 'bakal', 'jomplang', 'pas', 'dipakai', 'ternyata', 'blend', 'banget', 'sama', 'kulit', 'warnanya', 'jadi', 'lebih', 'cerah', 'bukan', 'jadi', 'tone', 'up', 'teksturnya', 'kaya', 'foundy', 'cair', 'cepat', 'nyerap', 'awalnya', 'kaya', 'mate', 'pas', 'kering', 'lama', 'jadi', 'glow', 'up']"
101,kynya udah botol ke apa gt secocok itu dikulit saya yg normal cenderung kering enaknya krn ga ada white cast ato tone up jd ga berasa cemong dikulit saya yg putih,Positif,sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih,"['sepertinya', 'sudah', 'botol', 'ke', 'apa', 'begitu', 'secocok', 'itu', 'dikulit', 'saya', 'yang', 'normal', 'cenderung', 'kering', 'enaknya', 'karena', 'enggak', 'ada', 'white', 'cast', 'atau', 'tone', 'up', 'jadi', 'enggak', 'berasa', 'cemong', 'dikulit', 'saya', 'yang', 'putih']","['sepertinya', 'botol', 'apa', 'secocok', 'dikulit', 'normal', 'cenderung', 'kering', 'enaknya', 'enggak', 'white', 'cast', 'tone', 'up', 'jadi', 'enggak', 'berasa', 'cemong', 'dikulit', 'putih']"
102,botol kedua enak dikulit gampang menyerap ga ada masalah ke kulitnya mantap,Positif,botol kedua enak dikulit gampang menyerap enggak ada masalah ke kulitnya mantap,"['botol', 'kedua', 'enak', 'dikulit', 'gampang', 'menyerap', 'enggak', 'ada', 'masalah', 'ke', 'kulitnya', 'mantap']","['botol', 'kedua', 'enak', 'dikulit', 'gampang', 'menyerap', 'enggak', 'masalah', 'kulitnya', 'mantap']"
103,produk tp beda isi cairannya cs ditanya ga membantu bertele tele,Negatif,produk tapi beda isi cairannya customer service ditanya enggak membantu bertele tele,"['produk', 'tapi', 'beda', 'isi', 'cairannya', 'customer', 'service', 'ditanya', 'enggak', 'membantu', 'bertele', 'tele']","['produk', 'beda', 'isi', 'cairannya', 'customer', 'service', 'ditanya', 'enggak', 'membantu', 'bertele', 'tele']"
104,kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif,kecewa karena isi tidak full seperti saya beli di tempat lain,"['kecewa', 'karena', 'isi', 'tidak', 'full', 'seperti', 'saya', 'beli', 'di', 'tempat', 'lain']","['kecewa', 'isi', 'tidak', 'full', 'beli', 'tempat']"
105,terpaksa kasi penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif,terpaksa kasih penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,"['terpaksa', 'kasih', 'penilaian', 'jelek', 'untuk', 'admin', 'al', 'el', 've', 'yang', 'handle', 'chat', 'karena', 'balasnya', 'asal', 'dan', 'tidak', 'menjawab', 'konsultasi', 'customer', 'dengan', 'baik', 'pertanyan', 'dan', 'jawabannya', 'tidak', 'sesuai', 'asal', 'balas', 'tanpa', 'membaca', 'permasalahan', 'pembeli']","['terpaksa', 'kasih', 'penilaian', 'jelek', 'admin', 'al', 'el', 've', 'handle', 'chat', 'balasnya', 'asal', 'tidak', 'menjawab', 'konsultasi', 'customer', 'baik', 'pertanyan', 'jawabannya', 'tidak', 'sesuai', 'asal', 'balas', 'tanpa', 'membaca', 'permasalahan', 'pembeli']"
106,baru coba semoga cocok recommended seller,Positif,baru coba semoga cocok recommended seller,"['baru', 'coba', 'semoga', 'cocok', 'recommended', 'seller']","['baru', 'coba', 'semoga', 'cocok', 'recommended', 'seller']"
107,pertama kali nyoba tinted sunscreen mudahan cocok dan gak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebel mantappp,Positif,pertama kali mencoba tinted sunscreen mudahan cocok dan enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap,"['pertama', 'kali', 'mencoba', 'tinted', 'sunscreen', 'mudahan', 'cocok', 'dan', 'enggak', 'oksidasi', 'sesuai', 'klaimnya', 'packing', 'aman', 'kardus', 'ditambah', 'bubble', 'wrap', 'tebal', 'mantap']","['pertama', 'kali', 'mencoba', 'tinted', 'sunscreen', 'mudahan', 'cocok', 'enggak', 'oksidasi', 'sesuai', 'klaimnya', 'packing', 'aman', 'kardus', 'ditambah', 'bubble', 'wrap', 'tebal', 'mantap']"
108,pesan barang paket lengkap yg dtg hanya paket,Positif,pesan barang paket lengkap yang datang hanya paket,"['pesan', 'barang', 'paket', 'lengkap', 'yang', 'datang', 'hanya', 'paket']","['pesan', 'barang', 'paket', 'lengkap', 'datang', 'paket']"
109,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online gak tahu real or chat bot bikin insecure,Negatif,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,"['lebih', 'baik', 'sabtu', 'minggu', 'tetap', 'di', 'proses', 'walau', 'kirim', 'nya', 'weekday', 'padahal', 'online', 'enggak', 'tahu', 'real', 'orang', 'chat', 'bot', 'bikin', 'insecure']","['lebih', 'baik', 'sabtu', 'minggu', 'tetap', 'proses', 'kirim', 'nya', 'weekday', 'padahal', 'online', 'enggak', 'tahu', 'real', 'orang', 'chat', 'bot', 'bikin', 'insecure']"
110,lemot responnya,Negatif,lemot responnya,"['lemot', 'responnya']","['lemot', 'responnya']"
111,wtf pas buka tutupnya ternyata yg keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif,wtf pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah,"['wtf', 'pas', 'buka', 'tutupnya', 'ternyata', 'yang', 'keputer', 'malah', 'ke', 'tempat', 'moisturizernya', 'langsung', 'tumpah', 'setengah']","['wtf', 'pas', 'buka', 'tutupnya', 'ternyata', 'keputer', 'malah', 'tempat', 'moisturizernya', 'langsung', 'tumpah', 'setengah']"
112,isi tidak sesuai,Negatif,isi tidak sesuai,"['isi', 'tidak', 'sesuai']","['isi', 'tidak', 'sesuai']"
113,thanks,Positif,thanks,['thanks'],['thanks']
114,well received thanks,Positif,well received thanks,"['well', 'received', 'thanks']","['well', 'received', 'thanks']"
115,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya,Positif,barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya,"['barang', 'sampai', 'dengan', 'aman', 'cuma', 'di', 'aku', 'agak', 'ke', 'abuan', 'dikit', 'tapi', 'masih', 'bisa', 'ditoleransi', 'thanks', 'ya']","['barang', 'aman', 'cuma', 'aku', 'abuan', 'dikit', 'ditoleransi', 'thanks']"
116,produknya biasa saja tapi yg paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif,produknya biasa saja tapi yang paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,"['produknya', 'biasa', 'saja', 'tapi', 'yang', 'paling', 'parah', 'pelayanannya', 'sangat', 'tidak', 'memuaskan', 'tidak', 'helpfull', 'tidak', 'customer', 'oriented', 'hati', 'kalau', 'belanja', 'disini', 'kesalahan', 'sedikit', 'saja', 'bakal', 'fatal']","['produknya', 'biasa', 'paling', 'parah', 'pelayanannya', 'sangat', 'tidak', 'memuaskan', 'tidak', 'helpfull', 'tidak', 'customer', 'oriented', 'hati', 'kalau', 'belanja', 'disini', 'kesalahan', 'sedikit', 'bakal', 'fatal']"
117,katanya check out jam dapet lm taunya engga boohong banget buat yang mau check out jangan percaya ya,Negatif,katanya check out jam dapat lama taunya enggak berbohong banget buat yang mau check out jangan percaya ya,"['katanya', 'check', 'out', 'jam', 'dapat', 'lama', 'taunya', 'enggak', 'berbohong', 'banget', 'buat', 'yang', 'mau', 'check', 'out', 'jangan', 'percaya', 'ya']","['katanya', 'check', 'out', 'jam', 'lama', 'taunya', 'enggak', 'berbohong', 'banget', 'buat', 'mau', 'check', 'out', 'jangan', 'percaya']"
118,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terimakasih alasan saya beli di toko ini adalah karna harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampe rb kecewa udh ganti produk eye care lain makasih saya beli tetapi dibatalkan sama somethinc jahat bgt pesannya pake usaha juga kalau tidak beli eye game changer ini di sini mau beli dmn lagi di stockist harganya beda rb rb makasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bs beli banyak makasih,Negatif,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terima kasih alasan saya beli di toko ini adalah karena harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi dibatalkan sama somethinc jahat banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,"['kecewa', 'pesanan', 'saya', 'dibatalkan', 'yang', 'lain', 'tidak', 'akan', 'pernah', 'mau', 'beli', 'lagi', 'terima', 'kasih', 'alasan', 'saya', 'beli', 'di', 'toko', 'ini', 'adalah', 'karena', 'harga', 'dari', 'pusat', 'normal', 'sedangkan', 'beli', 'di', 'reseller', 'harga', 'melambung', 'jauh', 'sampai', 'ribu', 'kecewa', 'sudah', 'ganti', 'produk', 'eye', 'care', 'lain', 'terima', 'kasih', 'saya', 'beli', 'tetapi', 'dibatalkan', 'sama', 'somethinc', 'jahat', 'banget', 'pesannya', 'pakai', 'usaha', 'juga', 'kalau', 'tidak', 'beli', 'eye', 'game', 'changer', 'ini', 'di', 'sini', 'mau', 'beli', 'dimana', 'lagi', 'di', 'stockist', 'harganya', 'beda', 'ribu', 'ribu', 'terima', 'kasih', 'belum', 'lagi', 'kadang', 'pre', 'order', 'sungguh', 'kecewa', 'saya', 'beli', 'di', 'official', 'mana', 'pun', 'bisa', 'beli', 'banyak', 'terima', 'kasih']","['kecewa', 'pesanan', 'dibatalkan', 'tidak', 'pernah', 'mau', 'beli', 'terima', 'kasih', 'alasan', 'beli', 'toko', 'harga', 'pusat', 'normal', 'beli', 'reseller', 'harga', 'melambung', 'jauh', 'ribu', 'kecewa', 'ganti', 'produk', 'eye', 'care', 'terima', 'kasih', 'beli', 'dibatalkan', 'sama', 'somethinc', 'jahat', 'banget', 'pesannya', 'pakai', 'usaha', 'kalau', 'tidak', 'beli', 'eye', 'game', 'changer', 'sini', 'mau', 'beli', 'stockist', 'harganya', 'beda', 'ribu', 'ribu', 'terima', 'kasih', 'belum', 'kadang', 'pre', 'order', 'sungguh', 'kecewa', 'beli', 'official', 'mana', 'beli', 'banyak', 'terima', 'kasih']"
119,it  beautiful package bintang buat safety nya,Positif,itu  beautiful package bintang buat safety nya,"['itu', 'beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']","['beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']"
120,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,"['pengiriman', 'agak', 'lama', 'karena', 'beda', 'provinsi', 'tapi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'dan', 'bisa', 'memperbaiki', 'kulit', 'aku', 'tipe', 'kulitku', 'berminyak']","['pengiriman', 'lama', 'beda', 'provinsi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'memperbaiki', 'kulit', 'aku', 'tipe', 'kulitku', 'berminyak']"
121,top,Positif,top,['top'],['top']
122,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']"
123,exp,Positif,exp,['exp'],['exp']
124,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba,"['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'ya', 'di', 'muka', 'waktu', 'itu', 'kemasan', 'masih', 'biru', 'mungkin', 'sekitar', 'tahun', 'yang', 'lalu', 'masih', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'sudah', 'stop', 'pakai', 'produk', 'bayi', 'saja', 'ini', 'mau', 'coba', 'lagi', 'karena', 'kangen', 'sensasinya', 'waktu', 'memakai', 'dulu', 'memang', 'feelnya', 'beda', 'tapi', 'semoga', 'ngaruh', 'di', 'jerawat', 'yang', 'suka', 'muncul', 'tiba', 'tiba']","['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'muka', 'waktu', 'kemasan', 'biru', 'mungkin', 'tahun', 'lalu', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'stop', 'pakai', 'produk', 'bayi', 'mau', 'coba', 'kangen', 'sensasinya', 'waktu', 'memakai', 'dulu', 'memang', 'feelnya', 'beda', 'semoga', 'ngaruh', 'jerawat', 'suka', 'muncul', 'tiba', 'tiba']"
125,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']"
126,barang sesuai pesanan,Positif,barang sesuai pesanan,"['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']"
127,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan,"['pengiriman', 'oke', 'saran', 'untuk', 'facial', 'wash', 'nya', 'mungkin', 'perlu', 'ditambahkan', 'fragrance', 'biar', 'baunya', 'lebih', 'enak', 'soalnya', 'baunya', 'kurang', 'begitu', 'nyaman', 'digunakan']","['pengiriman', 'oke', 'saran', 'facial', 'wash', 'nya', 'mungkin', 'perlu', 'ditambahkan', 'fragrance', 'biar', 'baunya', 'lebih', 'enak', 'soalnya', 'baunya', 'kurang', 'nyaman', 'digunakan']"
128,moga cocok soalnya dulu cocok bgt pake ini,Positif,moga cocok soalnya dulu cocok banget pakai ini,"['moga', 'cocok', 'soalnya', 'dulu', 'cocok', 'banget', 'pakai', 'ini']","['moga', 'cocok', 'soalnya', 'dulu', 'cocok', 'banget', 'pakai']"
129,pengiriman cepat mantabbb,Netral,pengiriman cepat mantap,"['pengiriman', 'cepat', 'mantap']","['pengiriman', 'cepat', 'mantap']"
130,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif,alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,"['alhamdulillah', 'sudah', 'sampai', 'barangnya', 'dan', 'pengemasan', 'barangnya', 'juga', 'ok', 'thank', 'you', 'kurir', 'sicepat', 'team', 'avoskin']","['alhamdulillah', 'barangnya', 'pengemasan', 'barangnya', 'thank', 'you', 'kurir', 'sicepat', 'team', 'avoskin']"
131,bahannya gampang menyerap,Netral,bahannya gampang menyerap,"['bahannya', 'gampang', 'menyerap']","['bahannya', 'gampang', 'menyerap']"
132,bagussss,Netral,bagus,['bagus'],['bagus']
133,baguusssssss,Netral,bagus,['bagus'],['bagus']
134,okelahhhhhhhh,Negatif,oke,['oke'],['oke']
135,dapat gratis mini pouch makasih semoga cocok,Netral,dapat gratis mini pouch terima kasih semoga cocok,"['dapat', 'gratis', 'mini', 'pouch', 'terima', 'kasih', 'semoga', 'cocok']","['gratis', 'mini', 'pouch', 'terima', 'kasih', 'semoga', 'cocok']"
136,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif,alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes,"['alhamdulillah', 'barangnya', 'sudah', 'sampai', 'semoga', 'cocok', 'dan', 'selau', 'dapat', 'harga', 'diskon', 'yes']","['alhamdulillah', 'barangnya', 'semoga', 'cocok', 'selau', 'harga', 'diskon', 'yes']"
137,cocok sama produknya,Positif,cocok sama produknya,"['cocok', 'sama', 'produknya']","['cocok', 'sama', 'produknya']"
138,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks,"['sudah', 'berkali', 'kali', 'beli', 'di', 'toko', 'official', 'ini', 'dan', 'setiap', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']","['berkali', 'kali', 'beli', 'toko', 'official', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']"
139,barang nya oke,Positif,barang nya oke,"['barang', 'nya', 'oke']","['barang', 'nya', 'oke']"
140,repeat order,Netral,repeat order,"['repeat', 'order']","['repeat', 'order']"
141,masalah kulitku pori besar,Negatif,masalah kulitku pori besar,"['masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulitku', 'pori', 'besar']"
142,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif,ini beda nih dari pertama beli  first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting  masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja byeee,"['ini', 'beda', 'nih', 'dari', 'pertama', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'waktu', 'itu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'ini', 'pembelian', 'kedua', 'merasa', 'ini', 'formulanya', 'beda', 'banget', 'ini', 'lebih', 'berminyak', 'tapi', 'short', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'itu', 'rugi', 'dong', 'sudahlah', 'aku', 'pindah', 'haluan', 'saja', 'byeee']","['beda', 'nih', 'pertama', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'waktu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'pembelian', 'kedua', 'merasa', 'formulanya', 'beda', 'banget', 'lebih', 'berminyak', 'short', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'rugi', 'dong', 'sudahlah', 'aku', 'pindah', 'haluan', 'byeee']"
143,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'overall', 'worth', 'itu']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'overall', 'worth']"
144,kecepatan pengiriman baik ada bubble warp,Netral,kecepatan pengiriman baik ada bubble warp,"['kecepatan', 'pengiriman', 'baik', 'ada', 'bubble', 'warp']","['kecepatan', 'pengiriman', 'baik', 'bubble', 'warp']"
145,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']"
146,dpt harga ceban yay blm dicoba,Netral,dapat harga ceban yay belum dicoba,"['dapat', 'harga', 'ceban', 'yay', 'belum', 'dicoba']","['harga', 'ceban', 'yay', 'belum', 'dicoba']"
147,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral,pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bernafas,"['pembelian', 'kesekian', 'kalinya', 'cocok', 'di', 'muka', 'apalagi', 'kalo', 'pas', 'jerawatan', 'kulitnya', 'tetap', 'bisa', 'bernafas']","['pembelian', 'kesekian', 'kalinya', 'cocok', 'muka', 'kalo', 'pas', 'jerawatan', 'kulitnya', 'tetap', 'bernafas']"
148,ternyata dapet ya baru pertama kali semoga cocok,Netral,ternyata dapat ya baru pertama kali semoga cocok,"['ternyata', 'dapat', 'ya', 'baru', 'pertama', 'kali', 'semoga', 'cocok']","['ternyata', 'baru', 'pertama', 'kali', 'semoga', 'cocok']"
149,mudahan cocok terima kasih,Positif,mudahan cocok terima kasih,"['mudahan', 'cocok', 'terima', 'kasih']","['mudahan', 'cocok', 'terima', 'kasih']"
150,udh sering beli ini dan selalu cocok,Netral,sudah sering beli ini dan selalu cocok,"['sudah', 'sering', 'beli', 'ini', 'dan', 'selalu', 'cocok']","['sering', 'beli', 'selalu', 'cocok']"
151,barang datang dengan selamat walau agak lama datangnya,Netral,barang datang dengan selamat walau agak lama datangnya,"['barang', 'datang', 'dengan', 'selamat', 'walau', 'agak', 'lama', 'datangnya']","['barang', 'datang', 'selamat', 'lama', 'datangnya']"
152,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif,packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih,"['packing', 'nya', 'bagus', 'banget', 'untuk', 'cream', 'dengan', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'di', 'kulit', 'enggak', 'ada', 'bau', 'menyengat', 'sama', 'sekali', 'semoga', 'cocok', 'di', 'kulit', 'aku', 'yang', 'kering', 'tapi', 'bruntusan', 'terima', 'kasih']","['packing', 'nya', 'bagus', 'banget', 'cream', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'kulit', 'enggak', 'bau', 'menyengat', 'sama', 'sekali', 'semoga', 'cocok', 'kulit', 'aku', 'kering', 'bruntusan', 'terima', 'kasih']"
153,terima kasih,Netral,terima kasih,"['terima', 'kasih']","['terima', 'kasih']"
154,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral,bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya,"['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'di', 'kulit', 'aku', 'yang', 'berjerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokoknya']","['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'kulit', 'aku', 'berjerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokoknya']"
155,tipe kulitku kombinasi masalah kulitku jerawat,Netral,tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']"
156,tipe kulitku kombinasi,Netral,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']"
157,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral,tipe kulitku berminyak masalah kulitku pori besar original terima kasih,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'original', 'terima', 'kasih']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'original', 'terima', 'kasih']"
158,bahannya ringan cocok digunakan,Positif,bahannya ringan cocok digunakan,"['bahannya', 'ringan', 'cocok', 'digunakan']","['bahannya', 'ringan', 'cocok', 'digunakan']"
